	Subject	Predicate	Object	Pubmed	Title	Evidence
450	"a(TEXT:""monoclonal antibody"")"	decreases	"bp(MESH:C000656484 ! ""severe acute respiratory syndrome coronavirus 2"")"	32366817	A human monoclonal antibody blocking {SARS}-{CoV}-2 infection.	A human monoclonal antibody blocking SARS-CoV-2 infection.
131	p(HGNC:10632 ! CCL5)	increases	p(UP:P0CW71 ! P0CW71)	19853271	A new mouse-adapted strain of {SARS}-{CoV} as a lethal model for evaluating antiviral agents in vitro and in vivo.	The MA15 virus stimulated significantly more MIP-1alpha, and RANTES compared with Urbani (P < 0.05), and the v2163 virus caused significantly greater MCP-1 response than Urbani (P < 0.01).
525	a(CHEBI:63580 ! ribavirin)	decreases	p(HGNC:6018 ! IL6)	19853271	A new mouse-adapted strain of {SARS}-{CoV} as a lethal model for evaluating antiviral agents in vitro and in vivo.	Ribavirin, UDA and Ampligen (TM) decreased IL-6 expression.
544	"a(CHEBI:32368 ! ""undecanoic acid"")"	decreases	p(HGNC:6018 ! IL6)	19853271	A new mouse-adapted strain of {SARS}-{CoV} as a lethal model for evaluating antiviral agents in vitro and in vivo.	Ribavirin, UDA, and Ampligen decreased IL-6 expression.
545	"a(CHEBI:32368 ! ""undecanoic acid"")"	decreases	p(HGNC:6018 ! IL6)	19853271	A new mouse-adapted strain of {SARS}-{CoV} as a lethal model for evaluating antiviral agents in vitro and in vivo.	Ribavirin, UDA and Ampligen (TM) decreased IL-6 expression.
524	a(CHEBI:63580 ! ribavirin)	decreases	p(HGNC:6018 ! IL6)	19853271	A new mouse-adapted strain of {SARS}-{CoV} as a lethal model for evaluating antiviral agents in vitro and in vivo.	Ribavirin, UDA, and Ampligen decreased IL-6 expression.
523	a(CHEBI:63580 ! ribavirin)	increases	a(CHEBI:566274 ! malonaldehyde)	19853271	A new mouse-adapted strain of {SARS}-{CoV} as a lethal model for evaluating antiviral agents in vitro and in vivo.	The MDD in mice treated with ribavirin was reduced (XREF_TABLE), but the survivor curve was statistically similar to that of PSS controls (XREF_FIG).
527	a(CHEBI:63580 ! ribavirin)	decreases	p(HGNC:6018 ! IL6)	19853271	A new mouse-adapted strain of {SARS}-{CoV} as a lethal model for evaluating antiviral agents in vitro and in vivo.	The IL-6 reduction with ribavirin was interesting in light of previous reports that ribavirin inhibited IL-6 production in respiratory epithelia cells infected with RSV virus and endothelial cells infected with Dengue virus.
674	a(TEXT:Ampligen)	decreases	p(HGNC:6018 ! IL6)	19853271	A new mouse-adapted strain of {SARS}-{CoV} as a lethal model for evaluating antiviral agents in vitro and in vivo.	Ribavirin, UDA and Ampligen (TM) decreased IL-6 expression.
526	a(CHEBI:63580 ! ribavirin)	decreases	p(HGNC:6018 ! IL6)	19853271	A new mouse-adapted strain of {SARS}-{CoV} as a lethal model for evaluating antiviral agents in vitro and in vivo.	However, IL-6 was not reduced by ribavirin in activated T-cells, and ribavirin treatment did not reduce SARS-CoV viral load or IL-6 in human SARS patients.
